feature,importance_gain
num__Age,11848.290432869224
NumOfProducts_1,5277.958234094083
num__Tenure,3854.6700139828026
num__Balance,3094.0056882821955
IsActiveMember_1,2394.2661284264177
NumOfProducts_0,1516.2373034898192
Gender_1,1459.111193756573
num__EstimatedSalary,1011.3343483197968
num__CreditScore,871.5325631799642
Geography_1,746.5403639075812
HasCrCard_1,610.367320690304
NumOfProducts_2,252.25601958483458
Geography_2,171.7780491746962
Geography_0,131.53556892555207
NumOfProducts_3,7.1427250653505325
