feature,importance_gain
num__Age,77923.3904623175
num__Tenure,45663.90891088254
NumOfProducts_1,37016.11185554101
num__Balance,24689.652469106317
IsActiveMember_1,18609.93573297086
Gender_1,11965.064771671547
NumOfProducts_0,10482.516835577786
num__EstimatedSalary,9714.736814594828
num__CreditScore,8588.554918134061
HasCrCard_1,5652.4206548845395
Geography_1,5419.282575722609
Geography_2,1268.0246233604848
Geography_0,1157.9788715508184
NumOfProducts_2,709.464921951294
NumOfProducts_3,289.34755086898804
