feature,importance_gain
num__Age,0.2928057388581627
NumOfProducts_1,0.1685509304551329
num__Balance,0.1255269303093324
num__CreditScore,0.07190104606066781
num__EstimatedSalary,0.07110524437584857
IsActiveMember_1,0.06494865234704865
num__Tenure,0.06267365117671929
NumOfProducts_0,0.04510614129282954
Gender_1,0.027964900189264483
Geography_1,0.02634957961151783
NumOfProducts_2,0.01303913107867529
Geography_0,0.01054165078236883
HasCrCard_1,0.01018622072246457
Geography_2,0.008875973081843042
NumOfProducts_3,0.0004242096581242434
