feature,importance_gain
NumOfProducts_1,53.0327033996582
NumOfProducts_0,30.89805030822754
IsActiveMember_1,27.983312606811523
NumOfProducts_2,21.02400016784668
num__Age,19.02523422241211
Gender_1,18.671356201171875
num__Tenure,14.039449691772461
HasCrCard_1,12.849525451660156
Geography_1,12.100944519042969
NumOfProducts_3,8.11355972290039
num__Balance,7.583922863006592
Geography_2,4.422433376312256
Geography_0,3.841641902923584
num__EstimatedSalary,3.3758788108825684
num__CreditScore,3.008798360824585
